移动线路 央卫1,#genre#
CCTV-01咪咕,http://rihou.cc:555/tv/[mg]CCTV-01
CCTV-02咪咕,http://rihou.cc:555/tv/[mg]CCTV-02
CCTV-03咪咕,http://rihou.cc:555/tv/[mg]CCTV-03
CCTV-04咪咕,http://rihou.cc:555/tv/[mg]CCTV-04
CCTV-05咪咕,http://rihou.cc:555/tv/[mg]CCTV-05
CCTV-5+咪咕,http://rihou.cc:555/tv/[mg]CCTV-5p
CCTV-06咪咕,http://rihou.cc:555/tv/[mg]CCTV-06
CCTV-07咪咕,http://rihou.cc:555/tv/[mg]CCTV-07
CCTV-08咪咕,http://rihou.cc:555/tv/[mg]CCTV-08
CCTV-09咪咕,http://rihou.cc:555/tv/[mg]CCTV-09
CCTV-10咪咕,http://rihou.cc:555/tv/[mg]CCTV-10
CCTV-11咪咕,http://rihou.cc:555/tv/[mg]CCTV-11
CCTV-12咪咕,http://rihou.cc:555/tv/[mg]CCTV-12
CCTV-13咪咕,http://rihou.cc:555/tv/[mg]CCTV-13
CCTV-14咪咕,http://rihou.cc:555/tv/[mg]CCTV-14
CCTV-15咪咕,http://rihou.cc:555/tv/[mg]CCTV-15
CCTV-16咪咕,http://rihou.cc:555/tv/[mg]CCTV-16
CCTV-17咪咕,http://rihou.cc:555/tv/[mg]CCTV-17

移动线路 央卫2,#genre#
CCTV-1综合,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv1
CCTV-2财经,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv2
CCTV-3综艺,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv3
CCTV-4中文国际,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv4
CCTV-5体育,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5
CCTV-5+体育赛事,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv5p
CCTV-6电影,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv6
CCTV-7国防军事,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv7
CCTV 8 电视剧,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv8
CCTV 9 纪录,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv9
CTV 10 科教,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv10
CCTV 11 戏曲,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv11
CCTV 12 社会与法,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv12
CCTV 13 新闻,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv13
CCTV 14 少儿,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv14
CCTV 15 音乐,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv15
CCTV 16 奥林匹克,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv16
CCTV 17 农村农业,https://php.jdshipin.com:2096/TVOD/iptv.php?id=cctv17

通用线路 央卫,#genre#
CCTV 1 综合,http://27.39.122.4:9901/tsfile/live/1005_1.m3u8?key=txiptv
CCTV 2 财经,http://27.39.122.4:9901/tsfile/live/1006_1.m3u8?key=txiptv
CCTV 3 综艺,http://27.39.122.4:9901/tsfile/live/1007_1.m3u8?key=txiptv
CCTV 4 中文国际,http://27.39.122.4:9901/tsfile/live/1008_1.m3u8?key=txiptv
CTV 5 体育,http://27.39.122.4:9901/tsfile/live/1009_1.m3u8?key=txiptv
CCTV 5+ 体育赛事,http://27.39.122.4:9901/tsfile/live/1010_1.m3u8?key=txiptv
CCTV 6 电影,http://27.39.122.4:9901/tsfile/live/1011_1.m3u8?key=txiptv
CCTV 7 国防军事,http://27.39.122.4:9901/tsfile/live/1012_1.m3u8?key=txiptv
CCTV 8 电视剧,http://27.39.122.4:9901/tsfile/live/1013_1.m3u8?key=txiptv
CCTV 9 纪录,http://27.39.122.4:9901/tsfile/live/1014_1.m3u8?key=txiptv
CCTV 10 科教,http://27.39.122.4:9901/tsfile/live/1015_1.m3u8?key=txiptv
CCTV 11 戏曲,http://27.39.122.4:9901/tsfile/live/1016_1.m3u8?key=txiptv
CCTV 12 社会与法,http://27.39.122.4:9901/tsfile/live/1017_1.m3u8?key=txiptv
CCTV 13 新闻,http://27.39.122.4:9901/tsfile/live/1018_1.m3u8?key=txiptv
CCTV 14 少儿,http://27.39.122.4:9901/tsfile/live/1019_1.m3u8?key=txiptv
CCTV 15 音乐,http://27.39.122.4:9901/tsfile/live/1020_1.m3u8?key=txiptv
CCTV 16 奥林匹克,http://74.91.26.218:82/live/cctv16hd.m3u8
CCTV 17 农村农业,http://27.39.122.4:9901/tsfile/live/1000_1.m3u8?key=txiptv

电信线路 央卫1,#genre#
CCTV 1 综合,http://222.214.208.34:59901/tsfile/live/0001_1.m3u8
CCTV 2 财经,http://222.214.208.34:59901/tsfile/live/0002_1.m3u8
CCTV 3 综艺,http://222.214.208.34:59901/tsfile/live/0003_1.m3u8
CCTV 4 中文国际,http://222.214.208.34:59901/tsfile/live/0004_1.m3u8
CCTV 5 体育,http://222.214.208.34:59901/tsfile/live/0005_1.m3u8
CCTV 5+ 体育赛事,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8
CCTV 6 电影,http://222.214.208.34:59901/tsfile/live/0006_1.m3u8
CCTV 7 国防军事,http://222.214.208.34:59901/tsfile/live/0007_1.m3u8
#CCTV 8 电视剧,http://222.214.208.34:59901/tsfile/live/0008_1.m3u8
CCTV 9 纪录,http://222.214.208.34:59901/tsfile/live/0009_1.m3u8
CCTV 10 科教,http://222.214.208.34:59901/tsfile/live/0010_1.m3u8
CCTV 11 戏曲,http://222.214.208.34:59901/tsfile/live/0011_1.m3u8
CCTV 12 社会与法,http://222.214.208.34:59901/tsfile/live/0012_1.m3u8
CCTV 13 新闻,http://222.214.208.34:59901/tsfile/live/0013_1.m3u8
CCTV 14 少儿,http://222.214.208.34:59901/tsfile/live/0014_1.m3u8
CCTV 15 音乐,http://222.214.208.34:59901/tsfile/live/0015_1.m3u8

电信线路 央卫2,#genre#
CCTV 1 综合,http://222.85.198.92:8000/hls/1/index.m3u8
CCTV 2 财经,http://222.85.198.92:8000/hls/2/index.m3u8
CCTV 3 综艺,http://222.85.198.92:8000/hls/3/index.m3u8
CCTV 4 中文国际,http://222.85.198.92:8000/hls/4/index.m3u8
CCTV 5 体育,http://222.85.198.92:8000/hls/5/index.m3u8
CCTV 5+ 体育赛事,http://222.214.208.34:59901/tsfile/live/0016_1.m3u8
CCTV 6 电影,http://222.85.198.92:8000/hls/6/index.m3u8
CCTV 7 国防军事,http://222.85.198.92:8000/hls/7/index.m3u8
CCTV 8 电视剧,http://222.85.198.92:8000/hls/8/index.m3u8
